행정기관코드,구,행정동,총 인구수,공동주택수,공동주택세대수,우체국수,인구_norm,세대수_norm,우체국_norm,입지점수
3023061000,대덕구,법2동,14433,0.0,0.0,0.0,0.27347436039428513,0.0,0.0,0.10938974415771406
3017059600,서구,관저1동,14359,0.0,0.0,0.0,0.2718351976963119,0.0,0.0,0.10873407907852478
3014062000,중구,석교동,13632,0.0,0.0,0.0,0.25573153173108876,0.0,0.0,0.1022926126924355
3017058700,서구,월평2동,13209,0.0,0.0,0.0,0.24636172333591763,0.0,0.0,0.09854468933436705
3011062000,동구,가양1동,12664,0.0,0.0,0.0,0.2342895115738177,0.0,0.0,0.09371580462952708
3014071000,중구,유천2동,12440,0.0,0.0,0.0,0.2293277217853583,0.0,0.0,0.09173108871414332
3023052500,대덕구,회덕동,12103,0.0,0.0,0.0,0.22186288625539927,0.0,0.0,0.08874515450215971
3023057000,대덕구,덕암동,12296,21.0,1326.0,1.0,0.22613799977849156,0.16226138032305434,0.3333333333333333,0.0886930853739517
3014068000,중구,태평1동,12058,0.0,0.0,0.0,0.2208660981282534,0.0,0.0,0.08834643925130137
3011055100,동구,판암1동,11650,0.0,0.0,0.0,0.21182855244213092,0.0,0.0,0.08473142097685238
3017055000,서구,용문동,18906,0.0,0.0,1.0,0.3725551002325839,0.0,0.3333333333333333,0.08235537342636691
3014073000,중구,문화2동,11002,0.0,0.0,0.0,0.19747480341123047,0.0,0.0,0.07898992136449219
3017058600,서구,월평1동,10928,0.0,0.0,0.0,0.1958356407132573,0.0,0.0,0.07833425628530293
3017056000,서구,괴정동,17920,0.0,0.0,1.0,0.35071436482445456,0.0,0.3333333333333333,0.07361907926311516
3017057000,서구,가장동,10375,0.0,0.0,0.0,0.1835862221729981,0.0,0.0,0.07343448886919925
3017059000,서구,가수원동,9890,0.0,0.0,0.0,0.1728430612470927,0.0,0.0,0.06913722449883708
3014055000,중구,목동,17354,0.0,0.0,1.0,0.3381769852696866,0.0,0.3333333333333333,0.06860412744120799
3011055200,동구,판암2동,7647,0.0,0.0,0.0,0.12315871082068888,0.0,0.0,0.049263484328275556
3023052000,대덕구,대화동,5210,12.0,1679.0,1.0,0.06917709602392291,0.2054576603034753,0.3333333333333333,0.043187235864292614
3014063000,중구,대사동,5110,0.0,0.0,0.0,0.0669620112969321,0.0,0.0,0.026784804518772843
3017054000,서구,변동,12229,1.0,46.0,1.0,0.22465389301140767,0.005628976994615762,0.3333333333333333,0.025446481335742704
3014057500,중구,대흥동,12124,0.0,0.0,1.0,0.22232805404806735,0.0,0.3333333333333333,0.022264554952560286
3017065000,서구,만년동,11839,0.0,0.0,1.0,0.21601506257614353,0.0,0.3333333333333333,0.019739358363790746
3011051500,동구,중앙동,3319,0.0,0.0,0.0,0.027289843836526752,0.0,0.0,0.010915937534610702
3014067000,중구,오류동,9761,0.0,0.0,1.0,0.16998560194927456,0.0,0.3333333333333333,0.0013275741130431562
3014065500,중구,용두동,9751,0.0,0.0,1.0,0.16976409347657548,0.0,0.3333333333333333,0.001238970723963534
3011072500,동구,대청동,2087,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3023051000,대덕구,오정동,13154,8.0,1819.0,3.0,0.24514342673607267,0.22258932941752327,1.0,-0.012906897538561612
3017053500,서구,정림동,14575,1.0,97.0,2.0,0.2766197807066121,0.011869799314733236,0.6666666666666666,-0.0179375013247952
3014064000,중구,부사동,5859,0.0,0.0,1.0,0.08355299590209325,0.0,0.3333333333333333,-0.03324546830582936
3014060500,중구,문창동,4107,0.0,0.0,1.0,0.04474471148521431,0.0,0.3333333333333333,-0.04876878207258094
