cluster,행정동수,평균인구,평균공동주택세대수,평균우체국수,평균입지점수,군집명
2,5,28857.2,7438.8,0.8,0.5479713118879955,최우선 후보군
4,7,35743.857142857145,150.85714285714286,0.0,0.3055952598766722,유망 후보군
5,9,14869.555555555555,3622.1111111111113,0.1111111111111111,0.28314410706717497,관찰 후보군
1,20,21143.75,119.55,0.0,0.17470095217742665,낮은 우선순위
0,21,10617.190476190477,127.61904761904762,0.0,0.08182702798698342,보완 검토군
3,16,12991.125,529.8125,1.1875,0.04338064044951798,기타 군집
