행정기관코드,구,행정동,총 인구수,공동주택수,공동주택세대수,우체국수,인구_norm,세대수_norm,우체국_norm,입지점수,cluster,군집명
3011063000,동구,가양2동,17893,0.0,0.0,0.0,0.350116291948167,0.0,0.0,0.1400465167792668,1,낮은 우선순위
3023054600,대덕구,중리동,17523,8.0,1136.0,1.0,0.3419204784583011,0.1390112579539892,0.3333333333333333,0.1257060278982494,3,기타 군집
3017063000,서구,둔산1동,16028,0.0,0.0,0.0,0.3088049617897885,0.0,0.0,0.1235219847159154,1,낮은 우선순위
3023058000,대덕구,목상동,5817,7.0,1783.0,0.0,0.0826226603167571,0.2181840430739109,0.0,0.1203226813562672,0,보완 검토군
3011059000,동구,자양동,10641,5.0,897.0,0.0,0.1894783475467936,0.1097650513950073,0.0,0.1196973595767204,0,보완 검토군
3014056000,중구,중촌동,14884,0.0,0.0,0.0,0.2834643925130136,0.0,0.0,0.1133857570052054,0,보완 검토군
3011054500,동구,신인동,14713,0.0,0.0,0.0,0.2796765976298593,0.0,0.0,0.1118706390519437,0,보완 검토군
3023061000,대덕구,법2동,14433,0.0,0.0,0.0,0.2734743603942851,0.0,0.0,0.109389744157714,0,보완 검토군
3017059600,서구,관저1동,14359,0.0,0.0,0.0,0.2718351976963119,0.0,0.0,0.1087340790785247,0,보완 검토군
3014062000,중구,석교동,13632,0.0,0.0,0.0,0.2557315317310887,0.0,0.0,0.1022926126924355,0,보완 검토군
3017058700,서구,월평2동,13209,0.0,0.0,0.0,0.2463617233359176,0.0,0.0,0.098544689334367,0,보완 검토군
3011062000,동구,가양1동,12664,0.0,0.0,0.0,0.2342895115738177,0.0,0.0,0.093715804629527,0,보완 검토군
3014071000,중구,유천2동,12440,0.0,0.0,0.0,0.2293277217853583,0.0,0.0,0.0917310887141433,0,보완 검토군
3023052500,대덕구,회덕동,12103,0.0,0.0,0.0,0.2218628862553992,0.0,0.0,0.0887451545021597,0,보완 검토군
3023057000,대덕구,덕암동,12296,21.0,1326.0,1.0,0.2261379997784915,0.1622613803230543,0.3333333333333333,0.0886930853739517,3,기타 군집
