공동주택명,주소,세대수,구
둔산더샵엘리프1단지,대전광역시 서구 탄방로 132,997,서구
둔산더샵엘리프2단지,대전광역시 서구 탄방로 131,1272,서구
둔산더샵엘리프3단지,대전광역시 서구 탄방로 131,494,서구
씨엘리오스위첸,대전광역시 서구 도산로 361,146,서구
둔산자이아이파크,대전광역시 서구 계룡로 520,1974,서구
원자력연료사원아파트 ,대전광역시 유성구 대덕대로577번길 51(도룡동한전원전사택),81,유성구
우성아파트 ,대전광역시 유성구 문지로 22(도룡동우성아파트),55,유성구
연구원 현대아파트 ,대전광역시 유성구 대덕대로541번길 68(도룡동대덕연구원현대아파트),150,유성구
과기원교수아파트 ,대전광역시 유성구 문지로 14(도룡동카이스트교수아파트),76,유성구
삼정하이츠아파트,대전광역시 유성구 유성대로668번길 29(구암동삼정하이츠),150,유성구
한울아파트 ,대전광역시 유성구 가정로 43(신성동한울아파트),814,유성구
한빛아파트 ,대전광역시 유성구 어은로 57(어은동한빛아파트),3144,유성구
럭키하나아파트 ,대전광역시 유성구 가정로 63(신성동럭키하나아파트),720,유성구
대림두레아파트 ,대전광역시 유성구 가정로 65(신성동대림두레아파트),840,유성구
우성햇살아파트 ,대전광역시 유성구 계룡로60번길 86(구암동우성햇살아파트),136,유성구
삼성푸른아파트 ,대전광역시 유성구 전민로 71(전민동삼성푸른아파트),672,유성구
광선연립,대전광역시 유성구 유성대로741번길 13(장대동광신주택),80,유성구
엑스포아파트 ,대전광역시 유성구 엑스포로 448(전민동엑스포아파트),3958,유성구
송강마을1단지아파트 ,대전광역시 유성구 봉산로 45(송강동송강마을1단지),660,유성구
세종아파트 ,대전광역시 유성구 유성대로 1741(전민동세종아파트),980,유성구
송강마을2단지아파트 ,대전광역시 유성구 봉산로 39(송강동송강마을2단지),675,유성구
나래아파트 ,대전광역시 유성구 엑스포로 501(전민동나래아파트),894,유성구
카이스트학생기숙사아파트 ,대전광역시 유성구 농대로 41(궁동카이스트기숙사),110,유성구
다솔아파트 ,대전광역시 유성구 궁동로 5(궁동다솔),172,유성구
삼정초롱마을아파트 ,대전광역시 유성구 월드컵대로253번길 37(구암동초롱마을아파트),205,유성구
한솔아파트 ,대전광역시 유성구 송강로 15(송강동),744,유성구
(송강)청솔아파트 ,대전광역시 유성구 송강로42번길 61(송강동),1966,유성구
진잠타운 ,대전광역시 유성구 진잠로42번길 88(원내동진잠타운아파트),1320,유성구
LG연구소사원아파트 ,대전광역시 유성구 대덕대로603번길 20(도룡동엘지화학사원아파트),308,유성구
신원연립 ,대전광역시 유성구 계룡로32번길 41(구암동신원),30,유성구
송강그린아파트 ,대전광역시 유성구 구즉로 25(송강동송강마을그린3단지),1830,유성구
샘물타운 ,대전광역시 유성구 원내로 52(원내동샘물타운아파트),784,유성구
유성타워 ,대전광역시 유성구 유성대로668번길 81(구암동유성타워아파트),84,유성구
조선아파트 ,대전광역시 유성구 유성대로680번길 18(구암동조선아파트),82,유성구
자연아파트 ,대전광역시 유성구 궁동로 49(궁동자연아파트),199,유성구
한아름아파트 ,대전광역시 유성구 진잠로42번길 30(원내동신우한아름아파트),864,유성구
송강한마을아파트 ,대전광역시 유성구 구즉로 16(송강동한마을아파트),1206,유성구
열매마을 3단지 ,대전광역시 유성구 노은동로 219(지족동열매마을대우3단지),588,유성구
목련아파트 1단지,대전광역시 유성구 월드컵대로290번길 39(상대동목련1단지),255,유성구
목련아파트 2단지,대전광역시 유성구 월드컵대로290번길 20(상대동목련2단지),222,유성구
열매마을 7단지 ,대전광역시 유성구 은구비남로 55(지족동열매마을현대1차7단지),887,유성구
열매마을 6단지 ,대전광역시 유성구 노은동로 187(지족동열매마을현대2차6단지),582,유성구
열매마을 8단지 ,대전광역시 유성구 은구비남로 34(노은동열매마을계룡8단지),814,유성구
열매마을 5단지 ,대전광역시 유성구 은구비로 31(지족동열매마을운암5단지),500,유성구
열매마을 1단지 ,대전광역시 유성구 노은서로 222(지족동열매마을삼부1단지),522,유성구
열매마을 2단지 ,대전광역시 유성구 노은동로 233(지족동열매마을한라2단지),312,유성구
열매마을 4단지 ,대전광역시 유성구 노은서로210번길 32(지족동열매마을계룡현대4단지),1086,유성구
더포엠2 ,대전광역시 유성구 대덕대로 598(도룡동더포엠),24,유성구
드림월드 ,대전광역시 유성구 문화원로 13(장대동드림월드),603,유성구
월드컵패밀리타운 ,대전광역시 유성구 유성대로783번길 38(장대동월드컵패밀리타운),556,유성구
아름아파트 ,대전광역시 유성구 온천서로 35-24(장대동아름),70,유성구
열매마을 9단지 ,대전광역시 유성구 은구비남로 56(노은동열매마을9단지),648,유성구
평화이지 ,대전광역시 유성구 월드컵대로290번길 25(상대동이지아파트),119,유성구
열매마을 11단지 ,대전광역시 유성구 왕가봉로 23(노은동열매마을계룡리슈빌11단지),635,유성구
갤러리빌3 ,대전광역시 유성구 유성대로736번길 583동  (장대동갤러리빌),33,유성구
더포엠 ,대전광역시 유성구 대덕대로590번길 11-10(도룡동더포엠),42,유성구
타워코리아나 ,대전광역시 유성구 대덕대로 594(도룡동타워코리아나주상복합),42,유성구
베르디아망 ,대전광역시 유성구 한밭대로 144(노은동베르디아망),44,유성구
노블레스1 ,대전광역시 유성구 한밭대로 138(노은동노은노블레스),48,유성구
로얄밸리 ,대전광역시 유성구 대덕대로 596(도룡동로얄밸리),53,유성구
카운티스 연립 ,대전광역시 유성구 노은서로 124(노은동카운티스),112,유성구
드리움 1단지 ,대전광역시 유성구 대정로28번길 50(대정동대전드리움1단지),676,유성구
송림마을 2단지 ,대전광역시 유성구 송림로 20(하기동송림마을우미이노스빌1차2단지),477,유성구
예성그랑필리체 ,대전광역시 유성구 문화원로 77(봉명동그랑펠리체),65,유성구
반석마을 4단지 ,대전광역시 유성구 반석로 46(반석동반석마을주공4단지),605,유성구
위드리버 ,대전광역시 유성구 문화원로146번길 7-28(봉명동위드리버),66,유성구
반석마을 7단지 ,대전광역시 유성구 반석서로 109(반석동반석마을삼부르네상스1차7단지),834,유성구
경남아너스빌 1차 ,대전광역시 유성구 지족로364번길 91(지족동경남아너스빌1차아파트),80,유성구
노블레스 Ⅱ ,대전광역시 유성구 온천동로65번길 39(봉명동노블레스타워2차아파트),88,유성구
노블레스 Ⅲ ,대전광역시 유성구 문화원로 123(봉명동노블레스타워3차아파트),88,유성구
성원상떼빌 ,대전광역시 유성구 온천서로 36-19(장대동성원상떼빌),136,유성구
반석마을 1단지,대전광역시 유성구 지족로 317(지족동반석마을호반리젠시빌1단지),536,유성구
송림마을 1단지 ,대전광역시 유성구 송림로 13(하기동송림마을호반리젠시빌1단지),452,유성구
가나파로스빌Ⅱ ,대전광역시 유성구 노은로 151(지족동가나파로스빌2차아파트),91,유성구
반석마을 6단지 ,대전광역시 유성구 반석서로 98(반석동반석마을삼부르네상스2차6단지),642,유성구
송림마을 4단지 ,대전광역시 유성구 노은로 358(하기동송림마을주공4단지),861,유성구
송림마을 3단지 ,대전광역시 유성구 노은로 353(하기동송림마을우미이노스빌2차3단지),713,유성구
반석마을 5단지,대전광역시 유성구 반석동로 33(반석동반석마을금성백조예미지5단지),536,유성구
제이파크 ,대전광역시 유성구 진잠로149번길 24(교촌동제이파크),405,유성구
한일유엔아이 ,대전광역시 유성구 장대로 103(장대동한일유엔아이),111,유성구
인앤인주상복합 ,대전광역시 유성구 북유성대로 219(지족동인앤인주상복합),98,유성구
반석마을 2단지 ,대전광역시 유성구 지족로 343(지족동반석마을계룡리슈빌2단지),561,유성구
경남아너스빌2 ,대전광역시 유성구 은구비남로33번길 5(지족동경남아너스빌2차아파트),104,유성구
온천훼미리타운 ,대전광역시 유성구 온천서로 22-9(봉명동온천훼미리타운),110,유성구
반석마을 8단지 ,대전광역시 유성구 반석동로 82(반석동반석마을주공8단지),642,유성구
아이빌 ,대전광역시 유성구 유성대로730번길 78(장대동천용아이빌),131,유성구
투유1 ,대전광역시 유성구 온천북로 73(봉명동투유),132,유성구
열매마을 10단지 ,대전광역시 유성구 노은동로 111(노은동열매마을10단지),940,유성구
투유2 ,대전광역시 유성구 문화원로 131(봉명동투유),138,유성구
갤러리빌2 ,대전광역시 유성구 유성대로736번길 62(장대동갤러리빌),147,유성구
봉명시티빌 ,대전광역시 유성구 문화원로 119(봉명동봉명시티빌),160,유성구
대덕테크노밸리 4단지 ,대전광역시 유성구 배울1로 35(관평동대덕테크노밸리쌍용스윗닷홈4단지),498,유성구
대덕테크노밸리 1단지 ,대전광역시 유성구 배울2로 6(관평동대덕테크노밸리한화꿈에그린1단지),666,유성구
대덕테크노밸리 2단지 ,대전광역시 유성구 배울1로 13(관평동대덕테크노밸리대우푸르지오2단지),684,유성구
대덕테크노밸리 3단지 ,대전광역시 유성구 배울2로 24(관평동대덕테크노밸리중앙하이츠빌3단지),535,유성구
대덕테크노밸리 5단지 ,대전광역시 유성구 배울2로 42(관평동대덕테크노밸리신동아파밀리에5단지),922,유성구
대덕테크노밸리 6단지 ,대전광역시 유성구 배울2로 78(관평동대덕테크노밸리운암네오미아6단지),703,유성구
반석마을 3단지 ,대전광역시 유성구 지족로 362(지족동반석마을호반베르디움3단지),607,유성구
드리움 2단지 ,대전광역시 유성구 대정로28번안길 80(대정동대전드리움2단지),600,유성구
노블레스타워 ,대전광역시 유성구 대학로 34(봉명동노블레스타워1차아파트),168,유성구
CJ나인파크 주상복합 ,대전광역시 유성구 계룡로 92(봉명동유성시제이나인파크아파트),168,유성구
사이언스타운 주상복합 ,대전광역시 유성구 온천로 60(봉명동사이언스타운),180,유성구
송림마을 6단지 ,대전광역시 유성구 노은로426번길 15(하기동송림마을금실풍요로운6단지),201,유성구
송림마을 5단지 ,대전광역시 유성구 노은로 416(하기동송림마을E그린운5단지),613,유성구
한승 미메이드 ,대전광역시 유성구 진잠로149번길 30(교촌동미메이드아파트),737,유성구
sk허브 ,대전광역시 유성구 은구비남로 13(지족동SK허브),182,유성구
장대 푸르지오 ,대전광역시 유성구 장대로71번길 34(장대동장대푸르지오아파트),562,유성구
대덕테크노밸리 12단지 ,대전광역시 유성구 배울1로 119(용산동우림루미아트),464,유성구
대덕테크노밸리 7단지 ,대전광역시 유성구 관평1로 12(관평동금성백조예미지7단지),493,유성구
대덕테크노밸리 8단지 ,대전광역시 유성구 배울2로 3(관평동금성백조예미지8단지),426,유성구
미성샤르망 ,대전광역시 유성구 계룡로 64(봉명동미성샤르망),210,유성구
대덕테크노밸리 11단지 ,대전광역시 유성구 배울2로 114(용산동대덕테크노밸리11단지),324,유성구
노은스타돔 ,대전광역시 유성구 노은로 719호 (노은동노은스타돔),247,유성구
경남아너스빌 1단지 ,대전광역시 유성구 용산2로 30(용산동경남아너스빌1단지),159,유성구
경남아너스빌 2단지 ,대전광역시 유성구 배울2로 133(용산동경남아너스빌2단지),156,유성구
대덕테크노밸리 9단지 ,대전광역시 유성구 배울2로 19(관평동대덕테크노밸리9단지),357,유성구
대덕테크노밸리 10단지 ,대전광역시 유성구 배울2로 61(관평동대덕테크노밸리10단지),1001,유성구
대우푸르지오하임 1단지,대전광역시 유성구 배울2로 134(용산동대덕테크노밸리푸르지오하임1단지),150,유성구
대우푸르지오하임 2단지,대전광역시 유성구 배울1로 147(용산동대덕테크노밸리푸르지오하임2단지),152,유성구
가나파로스빌 ,대전광역시 유성구 은구비로 18(지족동가나파로스빌1차아파트),251,유성구
유성자이 ,대전광역시 유성구 계룡로 55(봉명동유성자이),350,유성구
봉산휴먼시아2단지 ,대전광역시 유성구 와룡로136번길 75(봉산동봉산휴먼시아2단지),853,유성구
봉산하늘바람휴먼시아 ,대전광역시 유성구 와룡로136번길 15(봉산동하늘바람휴먼시아),990,유성구
와이즈빌 ,대전광역시 유성구 대학로76번길 29(궁동와이즈빌),33,유성구
로덴하우스 ,대전광역시 유성구 대덕대로 617(도룡동로덴하우스),68,유성구
운암네오미아 ,대전광역시 유성구 덕명로 26(덕명동네오미아),544,유성구
하우스토리,대전광역시 유성구 덕명로 63(덕명동하우스토리네오미아),474,유성구
유성 캠퍼스타워-1 ,대전광역시 유성구 문화원로 106(봉명동유성캠퍼스타워),99,유성구
도안마을 1단지 ,대전광역시 유성구 도안대로 560(봉명동도안휴먼시아1단지),1668,유성구
도안마을 10단지 ,대전광역시 유성구 원신흥로 37(원신흥동도안휴먼시아10단지),1647,유성구
도안휴먼시아6단지 센트럴시티 ,대전광역시 유성구 봉명로 93(봉명동도안휴먼시아6단지),854,유성구
스마트시티(5단지)(스마트시티주상복합),대전광역시 유성구 엑스포로123번길 46-15(도룡동스마트시티),351,유성구
도안휴먼시아 4단지 ,대전광역시 유성구 상대로 40(상대동도안휴먼시아4단지),1216,유성구
스타빌 ,대전광역시 유성구 대학로81번길 32-15(궁동스타빌),54,유성구
하이랜드1차 ,대전광역시 유성구 문화원로 107(봉명동하이랜드),143,유성구
도시형주택 ,대전광역시 유성구 진잠로 162(원내동),28,유성구
드림하우스 ,대전광역시 유성구 온천북로33번길 36-30(봉명동드림하우스),28,유성구
한라비발디 ,대전광역시 유성구 상대로 17(상대동도안신도시한라비발디아파트),752,유성구
학하리슈빌(학의뜰) ,대전광역시 유성구 학하로 33(계산동계룡리슈빌),704,유성구
아트하우스 ,대전광역시 유성구 온천북로33번길 22-31(봉명동아트하우스),41,유성구
하이랜드2차 ,대전광역시 유성구 문화원로 109(봉명동하이랜드2차),149,유성구
오투그란데(미학) ,대전광역시 유성구 학하남로 10(계산동오투그란데미학),1000,유성구
어울림하트 ,대전광역시 유성구 동서대로 725(원신흥동어울림하트),1056,유성구
트리풀시티9단지 ,대전광역시 유성구 상대남로 26(상대동도안트리풀시티9단지),1828,유성구
레자미 ,대전광역시 유성구 대학로76번안길 32(궁동),100,유성구
리베라 아이누리4차 ,대전광역시 유성구 계룡로74번길 20(봉명동리베라아이누리),254,유성구
신영 미소랑 ,대전광역시 유성구 온천북로33번길 22-4(봉명동신영미소랑),112,유성구
비타민하우스 ,대전광역시 유성구 온천북로33번길 36-32(봉명동비타민하우스),28,유성구
세종타운 ,대전광역시 유성구 온천북로33번길 36-26(봉명동세종타운),42,유성구
벨포스토 ,대전광역시 유성구 유성대로694번길 6(구암동벨포스토1차),25,유성구
하이랜드3 ,대전광역시 유성구 문화원로 140(봉명동하이랜드),63,유성구
엘도라도 빌딩 ,대전광역시 유성구 온천북로33번길 22-33(봉명동엘도라도),42,유성구
노은4단지 ,대전광역시 유성구 지족로148번길 40(지족동노은4단지),624,유성구
더 클래식 ,대전광역시 유성구 테크노중앙로 130(용산동더클래식),51,유성구
신안인스빌리베라 ,대전광역시 유성구 봉명로 48(원신흥동인스빌리베라),540,유성구
봉명정한 드리미아 ,대전광역시 유성구 문화원로 80(봉명동드리미아),240,유성구
글램타워 ,대전광역시 유성구 온천북로33번길 36-20(봉명동글램타워),29,유성구
하늘빛하우스 ,대전광역시 유성구 온천북로33번길 22-14(봉명동하늘빛하우스),22,유성구
엔젤타운 ,대전광역시 유성구 온천북로33번길 21-15(봉명동엔젤타운),42,유성구
솔리안 ,대전광역시 유성구 대학로 53(봉명동솔리안),146,유성구
좋은하루3차 ,대전광역시 유성구 온천로107번길 15(봉명동좋은하루3차),140,유성구
레자미Ⅲ ,대전광역시 유성구 계룡로 84(봉명동레자미3차),299,유성구
스마트시티(2단지)(스마트시티주상복합),대전광역시 유성구 엑스포로123번길 65-38(도룡동스마트시티),357,유성구
에이스타운 ,대전광역시 유성구 온천북로33번길 36-12(봉명동에이스타운1차),29,유성구
리베라아이누리2도시형생활주택 ,대전광역시 유성구 온천로 26(봉명동리베라아이누리2차),293,유성구
스카이뷰 ,대전광역시 유성구 대학로 55-35(봉명동스카이뷰),112,유성구
씨티팰리스 ,대전광역시 유성구 지족로364번길 59(지족동시티팰리스),72,유성구
힐링타운 ,대전광역시 유성구 온천북로33번길 21-22(봉명동힐링타운),56,유성구
에코빌 ,대전광역시 유성구 온천북로33번길 22-12(봉명동에코빌1차),24,유성구
호반 베르디움 ,대전광역시 유성구 도안동로 523(봉명동베르디움),970,유성구
대전 노은4지구 한화 꿈에그린 2블록 ,대전광역시 유성구 지족북로 60(지족동한화꿈에그린2단지),998,유성구
대전 노은4지구 한화 꿈에그린 1블록 ,대전광역시 유성구 지족북로 33(지족동한화꿈에그린1단지),887,유성구
드림하우스 ,대전광역시 유성구 학하서로121번길 71-26(덕명동드림하우스),27,유성구
노은해랑숲마을5단지  ,대전광역시 유성구 지족로 240(지족동노은해랑숲마을5단지),518,유성구
노은해랑숲마을6단지 ,대전광역시 유성구 지족동로 123(지족동노은해랑숲마을6단지),342,유성구
한솔타운 ,대전광역시 유성구 온천북로33번길 21-28(봉명동한솔타운),28,유성구
금성백조 도안마을7 예미지 ,대전광역시 유성구 봉명로 94(봉명동금성백조예미지아파트),1102,유성구
이신팰리스 ,대전광역시 유성구 온천북로 51(봉명동이신팰리스),96,유성구
트리풀시티 도안신도시5블럭 ,대전광역시 유성구 상대로 16(상대동도안트리풀시티5단지),1220,유성구
가온하이츠빌 ,대전광역시 유성구 대덕대로590번길 12-13(도룡동가온하이츠빌),24,유성구
세움펠리피아 ,대전광역시 유성구 계룡로52번길 11(봉명동유성세움펠리피아주상복합아파트),298,유성구
유성푸르지오시티 ,대전광역시 유성구 온천로 45(봉명동유성푸르지오시티),299,유성구
펠릭스빌 ,대전광역시 유성구 온천북로33번길 22-23(봉명동펠릭스빌),20,유성구
더힐,대전광역시 유성구 은구비남로7번길 48-23(지족동더힐),21,유성구
벨포스토3 ,대전광역시 유성구 온천동로65번길 16(봉명동벨포스토3차),25,유성구
에코빌2차 ,대전광역시 유성구 온천북로33번길 22-24(봉명동에코빌2차),21,유성구
엘지화학 사원아파트 B ,대전광역시 유성구 가정로 299(도룡동엘지화학사택),76,유성구
대성리더스빌 ,대전광역시 유성구 은구비남로7번길 14-19(지족동대성리더스빌),20,유성구
케이타운 ,대전광역시 유성구 계룡로105번길 20(봉명동케이타운),299,유성구
엘에이치노은에코힐 ,대전광역시 유성구 지족로190번길 39(지족동엘에이치노은에코힐),356,유성구
수가 아파트 ,대전광역시 유성구 은구비남로33번길 47-28(지족동수가),44,유성구
스카이뷰로드 ,대전광역시 유성구 대학로 45(봉명동스카이뷰로드),198,유성구
에이스타운2 ,대전광역시 유성구 문화원로 118-1(봉명동에이스타운2차),54,유성구
노은리슈빌3 ,대전광역시 유성구 지족동로 122,502,유성구
더존하우스 ,대전광역시 유성구 진잠로141번길 2(교촌동도시형생활주택),24,유성구
죽동대우푸르지오 ,대전광역시 유성구 죽동로 251(죽동죽동푸르지오),638,유성구
엘에이치네이처뷰 ,대전광역시 유성구 지족로148번길 22(지족동엘에이치네이처뷰),687,유성구
노은3지구1단지 ,대전광역시 유성구 지족로190번길 15(지족동노은3지구1단지),600,유성구
노은새미래숲아파트,대전광역시 유성구 지족로190번길 16(지족동노은새미래숲2단지),655,유성구
모나빌 ,대전광역시 유성구 온천북로 41(봉명동모나빌1차),64,유성구
양우내안애아파트 ,대전광역시 유성구 도안동로 446(원신흥동양우내안애레이크힐),500,유성구
스톤빌 ,대전광역시 유성구 문화원로 133(봉명동스톤빌),54,유성구
나이스타운 ,대전광역시 유성구 온천북로33번길 36-8(봉명동나이스타운11차),28,유성구
스카이뷰리버,대전광역시 유성구 문화원로 111(봉명동스카이뷰리버),143,유성구
죽동천년나무아파트,대전광역시 유성구 죽동로 72(죽동죽동천년나무),492,유성구
죽동금성백조예미지아파트,대전광역시 유성구 죽동로 321(죽동죽동금성백조예미지),998,유성구
벨포스토4 ,대전광역시 유성구 온천북로33번길 21-9(봉명동벨포스토4차),35,유성구
도안천년나무11단지,대전광역시 유성구 봉명로 16(원신흥동엘에이치도안천년나무11단지),1460,유성구
에이스타운3 ,대전광역시 유성구 온천북로33번길 35-5(봉명동에이스타운3차),68,유성구
나이스팰리스 ,대전광역시 유성구 온천북로33번길 35-171동  (봉명동나이스팰리스),160,유성구
레자미 멀티홈 ,대전광역시 유성구 온천북로 7(봉명동),159,유성구
더그린,대전광역시 유성구 문화원로 141(봉명동더그린1차),96,유성구
나이스타운 12차 ,대전광역시 유성구 문화원로 113(봉명동나이스타운12차),84,유성구
죽동 대원칸타빌,대전광역시 유성구 죽동로 39(죽동죽동대원칸타빌),1132,유성구
문지 효성해링턴 플레이스,대전광역시 유성구 문지로 300(문지동),1142,유성구
노은3지구 영무예다음 에코타운,대전광역시 유성구 지족로 92(지족동영무예다음에코타운),615,유성구
봉명동 628-1,대전광역시 유성구 온천북로33번길 21-401동  (봉명동벨포스토5차),20,유성구
노은3지구 트리풀시티포레,대전광역시 유성구 지족로190번길 36(지족동트리풀시티포레아파트),439,유성구
모나빌 2,대전광역시 유성구 온천북로 33(봉명동모나빌2차),72,유성구
스카이뷰시티,대전광역시 유성구 온천북로13번길 21(봉명동스카이뷰시티),299,유성구
에이스타운 4차,대전광역시 유성구 문화원로146번길 2(봉명동에이스타운4차),162,유성구
풍천 2,대전광역시 유성구 대학로76번길 77-7(궁동풍천2차),20,유성구
오투그란데 리빙포레 아파트,대전광역시 유성구 학하중앙로 99(계산동오투그란데리빙포레아파트),778,유성구
엔터팰리스,대전광역시 유성구 대학로 39-14(봉명동엔터팰리스2차),130,유성구
SK VIEW,대전광역시 유성구 가정로 306-6(도룡동도룡에스케이뷰),383,유성구
대전봉산엘에이치3단지,대전광역시 유성구 와룡로136번길 97(봉산동대전봉산엘에이치3단지),578,유성구
앤터팰리스,대전광역시 유성구 대학로 39-10(봉명동엔터팰리스1차),299,유성구
스카이뷰리브,대전광역시 유성구 도안대로549번길 60(구암동스카이뷰리브),99,유성구
유성숲 오투그란데 3차,대전광역시 유성구 학하중앙로 60(덕명동유성숲오투그란데3차),662,유성구
라온팰리스,대전광역시 유성구 문화원로 117(봉명동라온팰리스),80,유성구
더그린2차,대전광역시 유성구 계룡로74번길 12(봉명동),106,유성구
도안LH행복2단지,대전광역시 유성구 원신흥남로27번길 68(원신흥동대전도안엘에이치행복2단지),238,유성구
다온스테,대전광역시 유성구 온천북로33번길 22-20(봉명동다온스테이),28,유성구
스타빌플러스,대전광역시 유성구 대덕대로 524(도룡동스타빌플러스),150,유성구
해나래,대전광역시 유성구 온천로107번길 19(봉명동해나래),144,유성구
레자미리버뷰,대전광역시 유성구 문화원로146번길 7-21(봉명동레자미리버뷰시티),131,유성구
모나빌 3,대전광역시 유성구 문화원로146번길 8-216호 (봉명동모나빌3차),112,유성구
반석더샵,대전광역시 유성구 반석로 80(반석동반석더샵),650,유성구
휴안팰리스,대전광역시 유성구 유성대로710번길 70(봉명동휴안팰리스),83,유성구
도룡포레미소지움,대전광역시 유성구 대덕대로541번길 99(가정동도룡포레미소지움),232,유성구
대전아이파크시티 1단지,대전광역시 유성구 상대복용로29번길 52(상대동대전아이파크시티1단지),1254,유성구
대전아이파크시티 2단지,대전광역시 유성구 상대복용로29번길 51(상대동대전아이파크시티2단지),1306,유성구
리버스토리,대전광역시 유성구 대학로76번길 65(궁동리버스토리),76,유성구
도안LH행복3단지,대전광역시 유성구 동서대로656번길 86(용계동대전도안행복주택),360,유성구
대광로제비앙,대전광역시 유성구 와룡로 206(봉산동),816,유성구
레자미탐앤탐,대전광역시 유성구 문화원로 94(봉명동레자미탐앤탐),156,유성구
시티팰리스,대전광역시 유성구 궁동로 71101동  (궁동시티팰리스9차),146,유성구
학하리슈빌포레,대전광역시 유성구 학하남로90번길 76(학하동학하리슈빌포레),634,유성구
서한이다음1단지,대전광역시 유성구 과학성장로 77(둔곡동서한이다음1단지),816,유성구
서한이다음2단지,대전광역시 유성구 과학성장로 33(둔곡동서한이다음2단지),685,유성구
둔곡우미린,대전광역시 유성구 과학성장로 80(둔곡동우미린),760,유성구
호반써밋그랜드파크 1BL,대전광역시 유성구 용성로 20(용산동호반써밋그랜드파크1단지),1059,유성구
호반써밋그랜드파크 3BL,대전광역시 유성구 용산1로 83(용산동호반써밋그랜드파크3단지),688,유성구
빌라드 크레타,대전광역시 유성구 대덕대로 614(도룡동빌라드크레다),8,유성구
에코시티빌,대전광역시 유성구 대학로 47-15(봉명동에코시티빌),70,유성구
갑천1 트리플시티 힐스테이트,대전광역시 유성구 도안동로 422(원신흥동갑천1트리풀시티힐스테이트),1116,유성구
크레타하임,대전광역시 유성구 대덕대로590번길 17(도룡동크레타하임),10,유성구
원플러스(One Plus),대전광역시 유성구 문화원로 145(봉명동원플러스),65,유성구
구암다가온,대전광역시 유성구 복합환승로 12(구암동구암다가온),425,유성구
호반써밋그랜드파크 2BL,대전광역시 유성구 용성로 21(용산동호반써밋그랜드파크2단지),1246,유성구
호반써밋그랜드파크 4BL,대전광역시 유성구 용산1로 99(용산동호반써밋그랜드파크4BL),545,유성구
갑천2 트리풀시티 엘리프,대전광역시 유성구 원신흥로 122-12(원신흥동),1452,유성구
금강아파트,대전광역시 대덕구 대전로 1247(대화동),90,대덕구
신진연립,대전광역시 대덕구 신탄진동로35번길 63(신탄진동),31,대덕구
대화아파트,대전광역시 대덕구 대화로 53(대화동),50,대덕구
흥일아파트,대전광역시 대덕구 송촌남로 50(송촌동),40,대덕구
세림연립,대전광역시 대덕구 덕암북로96번길 22-14(덕암동),28,대덕구
신생연립,대전광역시 대덕구 대덕대로1601번길 15(석봉동),30,대덕구
한국담배인삼공사(사옥아파트),대전광역시 대덕구 평촌1길 35(평촌동),96,대덕구
정림APT,대전광역시 대덕구 덕암로148번안길 95(평촌동),36,대덕구
대청아파트,대전광역시 대덕구 신탄진동로48번길 17(신탄진동),48,대덕구
태평A.P.T,대전광역시 대덕구 신탄진로844번길 19-5(신탄진동),27,대덕구
회덕아파트,대전광역시 대덕구 대전로1375번길 27-1(읍내동),40,대덕구
중앙연립,대전광역시 대덕구 신탄진동로23번길 31(신탄진동),40,대덕구
무궁화아파트(A동),대전광역시 대덕구 동심1길 59(대화동),42,대덕구
금성백조연립,대전광역시 대덕구 동심8길 2(대화동),27,대덕구
신대화아파트,대전광역시 대덕구 대전로 1255(대화동),55,대덕구
신회덕아파트,대전광역시 대덕구 대전로1375번길 27(읍내동),48,대덕구
가양파크,대전광역시 대덕구 비래동로39번길 22(비래동),24,대덕구
전원연립,대전광역시 대덕구 비래동로15번길 47(비래동),24,대덕구
신탄진연립(신탄주택),대전광역시 대덕구 덕암북로96번길 1(덕암동),24,대덕구
석봉연립,대전광역시 대덕구 신탄진동로36번길 25(신탄진동),36,대덕구
새일연립(새일주택),대전광역시 대덕구 덕암로222번길 15-16(덕암동),24,대덕구
"대신연립(가,나,다동), 신일연립(1,2동)",대전광역시 대덕구 신탄진남로 15(신탄진동),50,대덕구
대운주택,대전광역시 대덕구 비래동로32번길 7(비래동),24,대덕구
혜강연립,대전광역시 대덕구 아리랑로113번안길 20(읍내동),50,대덕구
홍도연립,대전광역시 대덕구 대전로987번길 82(오정동),34,대덕구
전원주택,대전광역시 대덕구 대화12길 14(대화동),30,대덕구
금성백조아파트,대전광역시 대덕구 대화로 19(대화동),160,대덕구
중앙연립(중앙주택),대전광역시 대덕구 덕암로265번길 119(덕암동),51,대덕구
성은맨션아파트,대전광역시 대덕구 비래동로16번길 17(비래동),50,대덕구
덕암연립상가,대전광역시 대덕구 덕암로188번길 6(평촌동),46,대덕구
삼창아파트,대전광역시 대덕구 대덕대로1524번길 37(목상동),40,대덕구
금호(아),대전광역시 대덕구 덕암북로 86(덕암동),20,대덕구
안전연립(안전로얄아파트),대전광역시 대덕구 홍도로135번길 121(중리동),65,대덕구
금성백조(1차),대전광역시 대덕구 우암로412번길 45(비래동),100,대덕구
대화장미아파트,대전광역시 대덕구 동심5길 16(대화동),159,대덕구
오광아파트,대전광역시 대덕구 생산5길 22(대화동),104,대덕구
비래동현대아파트,대전광역시 대덕구 우암로 394(비래동),370,대덕구
