공동주택명,주소,세대수,구
마젤란21,대전광역시 동구 대학로 102-7(용운동),210,동구
삼성타운2단지,대전광역시 동구 우암로 133-1(삼성동),186,동구
삼정그린코아포레스트1단지아파트,대전광역시 동구 동부로10번길 55(판암동),1245,동구
삼정그린코아포레스트2단지아파트,대전광역시 동구 새울로 19(판암동),320,동구
새들뫼휴먼시아1단지아파트,대전광역시 동구 계족로 137(대동),897,동구
새피앙,대전광역시 동구 홍도로46번길 20(용전동),285,동구
석촌마을아파트,대전광역시 동구 우암로 186(성남동),451,동구
솔랑마을,대전광역시 동구 대전로 968(삼성동),253,동구
스마트뷰,대전광역시 동구 성남로 15(성남동),1115,동구
신동아,대전광역시 동구 한밭대로1237번길 52(용전동),914,동구
신한미리내,대전광역시 동구 동구청로203번길 35(판암동),276,동구
신흥마을주공아파트,대전광역시 동구 옥천로 38(신흥동),721,동구
아침마을,대전광역시 동구 우암로 192(가양동),1025,동구
어진마을,대전광역시 동구 계족로 65(인동),813,동구
용방마을,대전광역시 동구 용운로 80(용운동),1350,동구
용운 삼정하이츠,대전광역시 동구 동부로73번길 95(용운동),360,동구
용운2고층 주공아파트,대전광역시 동구 백룡로 138(용운동),840,동구
용운한화꿈에그린아파트,대전광역시 동구 대학로50번길 53(용운동),641,동구
용전 한숲,대전광역시 동구 계족로489번길 73(용전동),1036,동구
용전푸른,대전광역시 동구 계족로512번길 96(용전동),298,동구
용전한울아파트,대전광역시 동구 계족로450번길 52(용전동),177,동구
위드힐,대전광역시 동구 대전로542번길 121(천동),960,동구
은어송 코오롱하늘채2차아파트,대전광역시 동구 대전로340번길 15(대성동),408,동구
은어송마을1단지,대전광역시 동구 동구청로 67(가오동),664,동구
은어송마을2단지아파트,대전광역시 동구 동구청로 35(대성동),1241,동구
은어송마을3단지,대전광역시 동구 은어송로 117(가오동),696,동구
은어송마을5단지 우미린아파트,대전광역시 동구 은어송로 100(가오동),653,동구
은어송마을6단지,대전광역시 동구 신기로 100(가오동),451,동구
이스트시티1단지,대전광역시 동구 동대전로46번길 30(대동),1345,동구
이스트시티2단지,대전광역시 동구 동대전로46번길 120(신흥동),636,동구
인동모닝빌아파트,대전광역시 동구 대전천동로 458(인동),162,동구
인동한울,대전광역시 동구 대흥로206번길 54(인동),225,동구
인동현대아파트,대전광역시 동구 대전로 664(인동),728,동구
자양동아아파트,대전광역시 동구 성동로 74(자양동),590,동구
천동휴먼시아2단지,대전광역시 동구 대전로542번길 78-1(천동),763,동구
청룡아파트,대전광역시 동구 동산초교로22번길 17(홍도동),425,동구
"큰솔1,2차아파트",대전광역시 동구 계족로512번길 52(용전동),382,동구
큰솔3차,대전광역시 동구 충정로18번길 60(가양동),259,동구
큰솔5차아파트,대전광역시 동구 동서대로1572번길 165(성남동),152,동구
파밀리에 (1~4단지),대전광역시 동구 동산초교로 46(홍도동),679,동구
판암주공1차2차,대전광역시 동구 옥천로180번길 47-2(판암동),2146,동구
판암주공5,대전광역시 동구 동부로 73(판암동),1436,동구
판암주공6,대전광역시 동구 동부로 55-58(판암동),720,동구
펜타뷰아파트,대전광역시 동구 계족로140번길 33(대동),767,동구
한밭자이아파트,대전광역시 동구 대전로 935(삼성동),1063,동구
현암아파트,대전광역시 동구 대전로994번길 75(홍도동),207,동구
홍도,대전광역시 동구 동서대로 1579(홍도동),571,동구
효동현대,대전광역시 동구 대전로 646(효동),1056,동구
효촌마을아파트,대전광역시 동구 계족로368번길 11(성남동),818,동구
신흥 SK뷰아파트,대전광역시 동구 충무로 255 (신흥동),1588,동구
하이플러스,대전광역시 동구 동서대로 1754번길 60,430,동구
갤러리 휴리움,대전광역시 동구 한남로 67번길 193,419,동구
리더스시티4단지,대전광역시 동구 안샘로 11 (천동),1328,동구
은어송하늘채리버뷰,대전광역시 동구 대전로 357 (대성동),934,동구
힐스테이트가양더와이즈,대전광역시 동구 동서대로 1722 (가양동),358,동구
대라수어썸브릿지1.2단지,대전광역시 동구 삼성시장2길 28 (삼성동),282,동구
리더스시티5단지,대전광역시 동구 안샘로 14번길 7 (천동),2135,동구
대전산내 (주공),대전광역시 동구 산내로 1352-25(낭월동),624,동구
대전삼성1(삼성타운1) (주공),대전광역시 동구 우암로 133(삼성동),427,동구
대전판암3 (주공),대전광역시 동구 옥천로 152-9(판암동),768,동구
대전판암4 (주공),대전광역시 동구 동부로 56-7(판암동),2384,동구
새들뫼휴먼시아2단지,대전광역시 동구 계족로 135(대동),375,동구
석천들주공아파트 (주공),대전광역시 동구 산내로1257번길 40(낭월동),1072,동구
은어송마을4단지,대전광역시 동구 은어송로 116(가오동),307,동구
인동누리보듬아파트 (도시공사),대전광역시 동구 계족로51번길 38(인동),244,동구
인동참좋은,대전광역시 동구 대전로 706(인동),280,동구
천동휴먼시아1단지 (주공),대전광역시 동구 대전로542번길 78(천동),946,동구
성신연립,대전광역시 서구 배재로91번길 8,30,서구
삼성연립,대전광역시 서구 도마9길 23,24,서구
금강연립,대전광역시 서구 도마4길 37,24,서구
초원연립,대전광역시 서구 도산로 164,36,서구
대중,대전광역시 서구 갈마로212번길 29,30,서구
우진연립,대전광역시 서구 도솔로 366,24,서구
신진상가아파트,대전광역시 서구 도솔로305번길 23,44,서구
대성연립,대전광역시 서구 아랫강변4길 66,38,서구
대건연립,대전광역시 서구 용화4길 52,50,서구
무지개연립,대전광역시 서구 도산로370번길 11,103,서구
내동빌라,대전광역시 서구 도솔로267번길 37,22,서구
대림연립,대전광역시 서구 용화6길 21,36,서구
청운연립,대전광역시 서구 도산로452번길 25,48,서구
장미연립,대전광역시 서구 계룡로636번길 42,76,서구
신성,대전광역시 서구 동서대로1014번길 26,220,서구
협신맨션,대전광역시 서구 괴정로149번길 38,48,서구
경남1단지,대전광역시 서구 배재로 134,280,서구
대림연립,대전광역시 서구 유등로 323,87,서구
새한(1차),대전광역시 서구 중반9길 23,104,서구
럭키,대전광역시 서구 배재로91번길 21,298,서구
계룡,대전광역시 서구 가수원로 98,780,서구
삼정하이츠,대전광역시 서구 도마로37번길 36,210,서구
삼원,대전광역시 서구 배재로54번길 17,50,서구
한양연립(갈마빌라),대전광역시 서구 계룡로326번길 32,48,서구
새한(2차),대전광역시 서구 중반5길 119,39,서구
정림,대전광역시 서구 정림서로 203-9,98,서구
삼창,대전광역시 서구 용화6길 20,49,서구
복음하이츠,대전광역시 서구 도마4길 10,29,서구
삼창맨션,대전광역시 서구 도마17길 86,58,서구
영풍빌라,대전광역시 서구 신갈마로211번안길 104,54,서구
복음맨션,대전광역시 서구 도마로7번길 64,50,서구
동산,대전광역시 서구 갈마중로7번길 42,700,서구
한진,대전광역시 서구 용문로 118,130,서구
서우1단지,대전광역시 서구 동서대로 976,217,서구
복음맨션,대전광역시 서구 배재로186번길 9,49,서구
한밭,대전광역시 서구 계룡로662번길 46-2,30,서구
복음,대전광역시 서구 괴정로165번길 20-62,59,서구
복음,대전광역시 서구 계룡로320번길 118,83,서구
은아1단지,대전광역시 서구 가수원로 72,754,서구
도로공사,대전광역시 서구 갈마중로16번길 7,142,서구
은아2단지,대전광역시 서구 계백로1158번길 113,378,서구
삼창,대전광역시 서구 가장로 162,78,서구
서우2단지,대전광역시 서구 동서대로 994,270,서구
코오롱,대전광역시 서구 동서대로 967 ,730,서구
송원,대전광역시 서구 도솔로319번길 31,60,서구
복수계룡,대전광역시 서구 복수서로 10,648,서구
경남2단지,대전광역시 서구 배재로 155-7,1475,서구
은아3단지,대전광역시 서구 가수원로 106,408,서구
서우3단지,대전광역시 서구 배재로 271,72,서구
쌍용,대전광역시 서구 갈마로103번길 36,280,서구
은아5단지,대전광역시 서구 가수원로 6,720,서구
복음로얄,대전광역시 서구 배재로 117,150,서구
보라(1단지),대전광역시 서구 둔산로 241,870,서구
